period,periodOrder,region,shortName,locationName,latitude,longitude,sampleCount,meanChlorophyllA,meanSuspendedSolids,meanSalinity,meanSecchiDepthM,wetSeasonMeanSS,wetSeasonMeanSalinity,wetSeasonMeanChl,drySeasonMeanSS,drySeasonMeanSalinity,drySeasonMeanChl
2024-2025,2,Burdekin region,BUR15,Groper Creek,-19.71921,147.6228,1,0.6,200,0.1,0.5,200,0.1,0.6,,,
2024-2025,2,Burdekin region,BUR2,Pandora,-18.8176,146.4379333,24,0.49,2.12,32.4,5.24,2.52,31.21,0.58,0.76,35.28,0.26
2024-2025,2,Burdekin region,BUR3,Cordelia Rocks,-18.9922,146.7048,3,1.09,0.87,28.4,5.17,0.87,28.4,1.09,,,
2024-2025,2,Burdekin region,BUR4,Geoffrey Bay,-19.1574333,146.8688833,23,0.62,2.46,32.77,3.86,2.69,31.6,0.72,1.86,35.45,0.37
2024-2025,2,Burdekin region,BUR5,Cleveland Bay,-19.2327,146.853,3,1.34,5.37,21.3,2.03,5.37,21.3,1.34,,,
2024-2025,2,Burdekin region,BUR6,Cape Cleveland,-19.1898,147.051,1,3.88,2.3,20.6,2,2.3,20.6,3.88,,,
2024-2025,2,Burdekin region,BUR7,Haughton 2,-19.28275,147.1741333,17,0.68,2.26,32.9,4.04,2.21,32.14,0.77,2.42,35.35,0.38
2024-2025,2,Burdekin region,BUR8,Haughton River,-19.36676,147.1367717,4,0.81,6.78,25.14,2.48,6.78,25.14,0.81,,,
2024-2025,2,Burdekin region,BUR9,Barratta Creek,-19.4107,147.2407,1,0.33,10,12.9,1.1,10,12.9,0.33,,,
2024-2025,2,Cape York region,AE04,AE04,-15.4425333,145.40003,9,0.43,0.69,33.26,11.24,0.65,33.34,0.41,1.01,32.61,0.59
2024-2025,2,Cape York region,AR01,Annan mouth,-15.5245833,145.2775833,2,1.24,48.55,7.52,0.35,48.55,7.52,1.24,,,
2024-2025,2,Cape York region,AR02b,AR02b,-15.5068667,145.2911667,10,0.42,5.13,29.95,5.68,5.13,29.54,0.43,,33.64,0.29
2024-2025,2,Cape York region,AR03b,AR03b,-15.4839667,145.3241667,15,0.41,1.04,32.39,7.23,1,32.27,0.4,1.53,33.18,0.46
2024-2025,2,Cape York region,CI01,CI01,-14.2435,143.7863333,8,0.37,1.47,30.62,4.41,1.47,30.62,0.37,,,
2024-2025,2,Cape York region,ER01,Endeavour mouth,-15.4574867,145.2503167,1,0.42,20,19.7,0.3,20,19.7,0.42,,,
2024-2025,2,Cape York region,ER02b,ER02,-15.4301733,145.2689517,9,0.44,1.35,31.69,5.29,1.25,31.7,0.41,2.18,31.57,0.7
2024-2025,2,Cape York region,ER03,ER03,-15.414545,145.3165817,9,0.41,1.06,32.6,7.28,0.91,32.52,0.4,2.25,33.18,0.5
2024-2025,2,Cape York region,ER06,Forrester FLNTU,-15.1809,145.4835,4,0.14,0.38,34.49,6.05,0.36,34.84,0.15,0.44,33.46,0.1
2024-2025,2,Cape York region,KR01,Kennedy River mouth,-14.4723667,143.9727667,1,0.69,52.1,8.21,0.53,52.1,8.21,0.69,,,
2024-2025,2,Cape York region,KR02,Kennedy inshore,-14.42425,143.9513,1,0.79,20.1,2.56,0.63,20.1,2.56,0.79,,,
2024-2025,2,Cape York region,NR01,NR01,-14.3945333,144.1434333,1,0.49,14.87,14.34,1.16,14.87,14.34,0.49,,,
2024-2025,2,Cape York region,NR02,NR02,-14.3752667,144.1160167,8,1,4.3,30.27,2.17,4.28,30.02,0.87,4.42,32.03,1.85
2024-2025,2,Cape York region,NR03,NR03,-14.3073667,144.0900167,8,0.41,1.36,32.46,6.4,1.27,32.23,0.42,2.03,34.13,0.34
2024-2025,2,Cape York region,NR04,NR04,-14.2398833,144.0687,8,0.4,1.04,33.41,9.86,0.85,33.28,0.41,2.42,34.34,0.36
2024-2025,2,Cape York region,NR05,NR05,-14.1691667,144.0488167,7,0.49,1.01,33.43,9.54,1.02,33.27,0.53,0.91,34.41,0.21
2024-2025,2,Cape York region,NR06,NR06,-14.0945667,144.02425,8,0.33,0.75,33.51,11.7,0.77,33.38,0.35,0.62,34.45,0.15
2024-2025,2,Cape York region,PRBB,PRBB,-12.5113067,143.3707433,10,0.4,0.81,34.07,7.79,0.7,34.13,0.41,1.78,33.6,0.31
2024-2025,2,Cape York region,PRN02,PRN02,-12.4627183,143.2835667,10,0.36,1.33,33.66,3.8,1.09,33.72,0.36,3.54,33.19,0.32
2024-2025,2,Cape York region,PRN03,PRN03,-12.4360333,143.3192983,1,0.2,0.68,34.32,6.7,0.68,34.32,0.2,,,
2024-2025,2,Cape York region,PRN04,PRN04,-12.412545,143.359805,7,0.33,0.53,34.3,9.99,0.53,34.3,0.33,,,
2024-2025,2,Cape York region,PRN05,PRN05,-12.506,143.4400667,1,0.45,0.76,33.03,11.1,0.76,33.03,0.45,,,
2024-2025,2,Cape York region,PRS01,PRS01,-12.4995433,143.2804333,10,0.54,10.18,22.36,2.63,10.2,22.05,0.53,9.97,25.19,0.67
2024-2025,2,Cape York region,PRS05,PRS05,-12.5073167,143.4414267,9,0.32,0.63,34.27,10.46,0.62,34.33,0.32,0.71,33.82,0.26
2024-2025,2,Cape York region,PRS2.5,PRS2.5,-12.5084883,143.3011117,10,0.41,2.45,30.37,4.67,2.51,30.03,0.41,1.94,33.36,0.42
2024-2025,2,Cape York region,SR02,SR02,-14.0451667,143.6994167,8,0.45,4.35,32.4,3.92,1.57,31.93,0.3,12.69,33.78,0.93
2024-2025,2,Cape York region,SR03,SR03,-13.9865333,143.7168167,8,0.3,1.4,33.46,6.33,0.92,33.16,0.22,2.83,34.33,0.55
2024-2025,2,Cape York region,SR04,Burkitt Island,-13.9267167,143.7306167,8,0.36,0.92,33.62,8.1,0.93,33.28,0.37,0.89,34.63,0.32
2024-2025,2,Cape York region,SR05,Hannah Island,-13.8820833,143.7227833,8,0.37,0.64,33.58,9,0.54,33.2,0.38,0.96,34.73,0.35
2024-2025,2,Fitzroy region,FTZ1,Barren Island,-23.1515333,151.0690667,20,0.28,0.56,35.69,10.75,0.59,35.82,0.33,0.53,35.55,0.22
2024-2025,2,Fitzroy region,FTZ2,Humpy Island,-23.2166833,150.9600333,20,0.33,1.05,35.75,8.06,1.14,35.94,0.37,0.94,35.51,0.28
2024-2025,2,Fitzroy region,FTZ3,Pelican Island,-23.2324833,150.8734167,16,0.56,4.13,35.4,4.97,4.8,35.43,0.67,3.26,35.36,0.41
2024-2025,2,Fitzroy region,FTZ4,North Keppel Island,-23.0932833,150.9137833,16,0.34,0.78,35.66,8.91,0.84,35.83,0.42,0.72,35.45,0.24
2024-2025,2,Fitzroy region,FTZ5,Peak West,-23.3408833,150.9036167,16,0.57,5.64,35.36,3.33,6.34,35.37,0.62,4.75,35.34,0.5
2024-2025,2,Fitzroy region,FTZ6,Fitzroy River Mouth,-23.47015,150.94095,21,0.94,16.87,35.08,1.22,20.47,35.03,1,12.92,35.14,0.87
2024-2025,2,Mackay Whitsunday region,WHI1,Double Cone Island,-20.1059667,148.7221667,13,0.38,2.08,34.96,5.33,1.69,34.67,0.42,2.72,35.43,0.32
2024-2025,2,Mackay Whitsunday region,WHI4,Pine Island,-20.37985,148.8876167,14,0.53,3.9,34.81,4.8,3.5,34.35,0.55,4.42,35.43,0.5
2024-2025,2,Mackay Whitsunday region,WHI5,Seaforth Island,-20.46815,149.0408667,14,0.49,2.3,34.93,5.05,1.69,34.53,0.56,3.11,35.46,0.41
2024-2025,2,Mackay Whitsunday region,WHI6,O'Connell River,-20.5781333,148.7098,14,0.82,5,32.24,2,6.19,29.73,0.97,3.42,35.6,0.61
2024-2025,2,Mackay Whitsunday region,WHI7,Repulse Islands dive mooring,-20.57635,148.8607833,9,0.55,4.73,34.1,3.67,3.6,33.29,0.58,6.98,35.71,0.51
2024-2025,2,Wet Tropics region,C1,Cape Tribulation,-16.1123833,145.4836,5,0.4,1.98,33.75,5.1,0.8,32.17,0.44,3.17,34.81,0.37
2024-2025,2,Wet Tropics region,C11,Green Island,-16.77285,145.9538167,5,0.25,0.44,33.65,11,0.47,31.4,0.41,0.41,35.14,0.14
